
---------- Begin Simulation Statistics ----------
final_tick                                81077833500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 106692                       # Simulator instruction rate (inst/s)
host_mem_usage                                 305088                       # Number of bytes of host memory used
host_op_rate                                   108401                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2342.08                       # Real time elapsed on the host
host_tick_rate                               34617860                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   249880473                       # Number of instructions simulated
sim_ops                                     253884992                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.081078                       # Number of seconds simulated
sim_ticks                                 81077833500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 125514762                       # number of cc regfile reads
system.cpu.cc_regfile_writes                126562889                       # number of cc regfile writes
system.cpu.committedInsts                   249880473                       # Number of Instructions Simulated
system.cpu.committedOps                     253884992                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.648933                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.648933                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          133928                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               616107                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 75165327                       # Number of branches executed
system.cpu.iew.exec_nop                        221394                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.611376                       # Inst execution rate
system.cpu.iew.exec_refs                     71057631                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   23504456                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  964818                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              46695920                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                699                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             23638805                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           265029474                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              47553175                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1275649                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             261293707                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    141                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                900289                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 605853                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                901045                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            208                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       192968                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         423139                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 280402603                       # num instructions consuming a value
system.cpu.iew.wb_count                     258518659                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.469275                       # average fanout of values written-back
system.cpu.iew.wb_producers                 131586060                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.594262                       # insts written-back per cycle
system.cpu.iew.wb_sent                      258927709                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                348805798                       # number of integer regfile reads
system.cpu.int_regfile_writes               159585954                       # number of integer regfile writes
system.cpu.ipc                               1.540991                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.540991                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                11      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             190901059     72.71%     72.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  887      0.00%     72.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    96      0.00%     72.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  39      0.00%     72.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  82      0.00%     72.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  72      0.00%     72.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult             110457      0.04%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              20      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  21      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                151      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                 10      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  426      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 4605      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                 4570      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   21      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 236      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     72.75% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             48029581     18.29%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            23517010      8.96%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpPack                   0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompressInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetLength              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompression            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexMatch             0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpCustPerm               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetPred                0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSortInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSort            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpInitBigCmp             0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpNextBigCmpFromMatRes            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpKeyCombine             0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpMatch                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetLimit               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpBFPermute              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSEPermute              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              262569356                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    64856976                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.247009                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                43790708     67.52%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                    584      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                    17      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    2      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      6      0.00%     67.52% # attempts to use FU when none available
