
---------- Begin Simulation Statistics ----------
final_tick                                18224111500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  62907                       # Simulator instruction rate (inst/s)
host_mem_usage                                 305084                       # Number of bytes of host memory used
host_op_rate                                    66083                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   271.66                       # Real time elapsed on the host
host_tick_rate                               67084349                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    17089324                       # Number of instructions simulated
sim_ops                                      17952102                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.018224                       # Number of seconds simulated
sim_ticks                                 18224111500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  10934907                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 11238775                       # number of cc regfile writes
system.cpu.committedInsts                    17089324                       # Number of Instructions Simulated
system.cpu.committedOps                      17952102                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.132807                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.132807                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          125764                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               497142                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  4606447                       # Number of branches executed
system.cpu.iew.exec_nop                        273764                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.598107                       # Inst execution rate
system.cpu.iew.exec_refs                      6694914                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    3400538                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  443232                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3622969                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                424                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              3703399                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24459588                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3294376                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            893289                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              21799922                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      8                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2618344                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 438830                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2619208                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            602                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       192691                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         304451                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  19508836                       # num instructions consuming a value
system.cpu.iew.wb_count                      21139854                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.452514                       # average fanout of values written-back
system.cpu.iew.wb_producers                   8828012                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.579997                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21282575                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 25113048                       # number of integer regfile reads
system.cpu.int_regfile_writes                12800193                       # number of integer regfile writes
system.cpu.ipc                               0.468866                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.468866                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15264980     67.27%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  637      0.00%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    74      0.00%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   9      0.00%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  59      0.00%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   7      0.00%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                 10      0.00%     67.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc          108593      0.48%     67.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     67.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                282      0.00%     67.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     67.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 5952      0.03%     67.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     67.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                60311      0.27%     68.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                56427      0.25%     68.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     68.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                2061      0.01%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            167      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                6      0.00%     68.30% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              3660687     16.13%     84.43% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             3532899     15.57%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpPack                   0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompressInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetLength              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompression            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexMatch             0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpCustPerm               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetPred                0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSortInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSort            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpInitBigCmp             0      0.00%    100.00% # Type of FU issued
