
---------- Begin Simulation Statistics ----------
final_tick                                82149967500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  82545                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304304                       # Number of bytes of host memory used
host_op_rate                                    82875                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1836.03                       # Real time elapsed on the host
host_tick_rate                               44743343                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   151554620                       # Number of instructions simulated
sim_ops                                     152160082                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.082150                       # Number of seconds simulated
sim_ticks                                 82149967500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  82181163                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 83427606                       # number of cc regfile writes
system.cpu.committedInsts                   151554620                       # Number of Instructions Simulated
system.cpu.committedOps                     152160082                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.084097                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.084097                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          125871                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              4112538                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 29707951                       # Number of branches executed
system.cpu.iew.exec_nop                          8914                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.177795                       # Inst execution rate
system.cpu.iew.exec_refs                     50075207                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   14892717                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5887865                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              40203894                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                436                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             15900544                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           219085123                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              35182490                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           6859689                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             193511598                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     95                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 64833                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                4034512                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 65043                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            261                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2515804                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1596734                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 208862970                       # num instructions consuming a value
system.cpu.iew.wb_count                     190829332                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.495506                       # average fanout of values written-back
system.cpu.iew.wb_producers                 103492753                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.161469                       # insts written-back per cycle
system.cpu.iew.wb_sent                      191136396                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                284671519                       # number of integer regfile reads
system.cpu.int_regfile_writes               141075857                       # number of integer regfile writes
system.cpu.ipc                               0.922427                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.922427                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                11      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             143589286     71.66%     71.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  665      0.00%     71.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    81      0.00%     71.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              975844      0.49%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  61      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  10      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult             974911      0.49%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              14      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                115      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  424      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                   72      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   32      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   17      0.00%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1106199      0.55%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     73.19% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             37954270     18.94%     92.13% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            15769254      7.87%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpPack                   0      0.00%    100.00% # Type of FU issued
