
---------- Begin Simulation Statistics ----------
final_tick                                56848310500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  83692                       # Simulator instruction rate (inst/s)
host_mem_usage                                 305328                       # Number of bytes of host memory used
host_op_rate                                    84012                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1430.28                       # Real time elapsed on the host
host_tick_rate                               39746245                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   119703475                       # Number of instructions simulated
sim_ops                                     120160866                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.056848                       # Number of seconds simulated
sim_ticks                                 56848310500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  96260934                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 80399221                       # number of cc regfile writes
system.cpu.committedInsts                   119703475                       # Number of Instructions Simulated
system.cpu.committedOps                     120160866                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.949819                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.949819                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          128245                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3101989                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 27017918                       # Number of branches executed
system.cpu.iew.exec_nop                          6011                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.299407                       # Inst execution rate
system.cpu.iew.exec_refs                     43044217                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   17444253                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3241782                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              29748988                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                496                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             20537258                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           167016196                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              25599964                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           8556821                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             147738191                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    176                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  4600                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3087424                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  4786                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            481                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1675635                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1426354                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 154572268                       # num instructions consuming a value
system.cpu.iew.wb_count                     146327164                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.475045                       # average fanout of values written-back
system.cpu.iew.wb_producers                  73428804                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.286997                       # insts written-back per cycle
system.cpu.iew.wb_sent                      146429334                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                196520235                       # number of integer regfile reads
system.cpu.int_regfile_writes                78528401                       # number of integer regfile writes
system.cpu.ipc                               1.052832                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.052832                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             104346786     66.76%     66.76% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               127645      0.08%     66.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    77      0.00%     66.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  10      0.00%     66.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  58      0.00%     66.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   8      0.00%     66.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult            5747555      3.68%     70.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc            4342      0.00%     70.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     70.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc               5520      0.00%     70.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     70.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                16716      0.01%     70.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     70.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                32160      0.02%     70.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                20957      0.01%     70.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     70.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               10708      0.01%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           8249      0.01%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            139      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                6      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             27657354     17.70%     88.28% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            18316672     11.72%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpPack                   0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompressInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetLength              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompression            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexMatch             0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpCustPerm               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetPred                0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSortInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSort            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpInitBigCmp             0      0.00%    100.00% # Type of FU issued
