
---------- Begin Simulation Statistics ----------
final_tick                               412732616500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  80997                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304816                       # Number of bytes of host memory used
host_op_rate                                    91466                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  8405.95                       # Real time elapsed on the host
host_tick_rate                               49100082                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   680854004                       # Number of instructions simulated
sim_ops                                     768859095                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.412733                       # Number of seconds simulated
sim_ticks                                412732616500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 244397190                       # number of cc regfile reads
system.cpu.cc_regfile_writes                254637021                       # number of cc regfile writes
system.cpu.committedInsts                   680854004                       # Number of Instructions Simulated
system.cpu.committedOps                     768859095                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.212397                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.212397                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          136586                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts             12031642                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                163119474                       # Number of branches executed
system.cpu.iew.exec_nop                       5509971                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.053544                       # Inst execution rate
system.cpu.iew.exec_refs                    325063236                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  127438359                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                11473643                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             208538264                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                528                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            139930424                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           935659029                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             197624877                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          24129371                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             869663550                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   7074                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                207284                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles               11430881                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                236323                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           6006                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      5178976                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        6852666                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 748139742                       # num instructions consuming a value
system.cpu.iew.wb_count                     849187013                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570207                       # average fanout of values written-back
system.cpu.iew.wb_producers                 426594615                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.028737                       # insts written-back per cycle
system.cpu.iew.wb_sent                      852528408                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1002718055                       # number of integer regfile reads
system.cpu.int_regfile_writes               562615917                       # number of integer regfile writes
system.cpu.ipc                               0.824812                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.824812                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             538872969     60.29%     60.29% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              3502341      0.39%     60.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               3789224      0.42%     61.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  12      0.00%     61.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  60      0.00%     61.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  10      0.00%     61.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  9      0.00%     61.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc         1735343      0.19%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                303      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                22134      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              3470860      0.39%     61.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp              1302301      0.15%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                7584      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            138      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                6      0.00%     61.84% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead            208244890     23.30%     85.14% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite           132844687     14.86%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpPack                   0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompressInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetLength              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexCompression            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpIndexMatch             0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpCustPerm               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpGetPred                0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSortInit            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpSingleSideSort            0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::SpSpInitBigCmp             0      0.00%    100.00% # Type of FU issued
