
---------- Begin Simulation Statistics ----------
final_tick                               124132977500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 218963                       # Simulator instruction rate (inst/s)
host_mem_usage                                 306112                       # Number of bytes of host memory used
host_op_rate                                   223264                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1288.15                       # Real time elapsed on the host
host_tick_rate                               96365391                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   282056442                       # Number of instructions simulated
sim_ops                                     287597150                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.124133                       # Number of seconds simulated
sim_ticks                                124132977500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 138049761                       # number of cc regfile reads
system.cpu.cc_regfile_writes                140812356                       # number of cc regfile writes
system.cpu.committedInsts                   282056442                       # Number of Instructions Simulated
system.cpu.committedOps                     287597150                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.880200                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.880200                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          135761                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1793362                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 81526776                       # Number of branches executed
system.cpu.iew.exec_nop                        635299                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.239936                       # Inst execution rate
system.cpu.iew.exec_refs                     94517933                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   31250408                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2148204                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              60063929                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                703                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             31764329                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           316376398                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              63267525                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4018568                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             307833969                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    405                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2028834                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1725912                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2029869                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            313                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       613532                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1179830                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 314705891                       # num instructions consuming a value
system.cpu.iew.wb_count                     299435214                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.486508                       # average fanout of values written-back
system.cpu.iew.wb_producers                 153106961                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.206107                       # insts written-back per cycle
system.cpu.iew.wb_sent                      300490440                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                418932839                       # number of integer regfile reads
system.cpu.int_regfile_writes               185452706                       # number of integer regfile writes
system.cpu.ipc                               1.136106                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.136106                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                11      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             215376088     69.06%     69.06% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  893      0.00%     69.06% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    97      0.00%     69.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 739      0.00%     69.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  83      0.00%     69.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  71      0.00%     69.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult             435885      0.14%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              20      0.00%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  21      0.00%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                150      0.00%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                 10      0.00%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  426      0.00%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     69.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                18107      0.01%     69.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                18076      0.01%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   21      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 239      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     69.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     69.22% # Type of FU issued
