
---------- Begin Simulation Statistics ----------
final_tick                               120006335500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 134244                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304300                       # Number of bytes of host memory used
host_op_rate                                   142691                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   973.66                       # Real time elapsed on the host
host_tick_rate                              123253055                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   130708092                       # Number of instructions simulated
sim_ops                                     138931936                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.120006                       # Number of seconds simulated
sim_ticks                                120006335500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  80998335                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 84801925                       # number of cc regfile writes
system.cpu.committedInsts                   130708092                       # Number of Instructions Simulated
system.cpu.committedOps                     138931936                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.836250                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.836250                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          127155                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              5253168                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 38192138                       # Number of branches executed
system.cpu.iew.exec_nop                       2809963                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.743417                       # Inst execution rate
system.cpu.iew.exec_refs                     55419321                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   20750239                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4642325                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38549044                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                464                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             23750558                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           207224858                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              34669082                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           9438557                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             178429619                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     11                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               8995061                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                4593935                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               9003863                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           2418                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2001572                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        3251596                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 164193218                       # num instructions consuming a value
system.cpu.iew.wb_count                     172152994                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.478364                       # average fanout of values written-back
system.cpu.iew.wb_producers                  78544157                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.717266                       # insts written-back per cycle
system.cpu.iew.wb_sent                      173334057                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                220094295                       # number of integer regfile reads
system.cpu.int_regfile_writes               109992576                       # number of integer regfile writes
system.cpu.ipc                               0.544588                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.544588                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             125164321     66.62%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  660      0.00%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    80      0.00%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  10      0.00%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  60      0.00%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   8      0.00%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  9      0.00%     66.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc          975964      0.52%     67.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     67.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                256      0.00%     67.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     67.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                16716      0.01%     67.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     67.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               504379      0.27%     67.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp               492880      0.26%     67.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     67.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                5669      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            139      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     67.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     67.69% # Type of FU issued
