
---------- Begin Simulation Statistics ----------
final_tick                                 7101716500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 163501                       # Simulator instruction rate (inst/s)
host_mem_usage                                 303040                       # Number of bytes of host memory used
host_op_rate                                   165454                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    84.28                       # Real time elapsed on the host
host_tick_rate                               84265432                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    13779467                       # Number of instructions simulated
sim_ops                                      13944150                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007102                       # Number of seconds simulated
sim_ticks                                  7101716500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   7206084                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7358082                       # number of cc regfile writes
system.cpu.committedInsts                    13779467                       # Number of Instructions Simulated
system.cpu.committedOps                      13944150                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.030768                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.030768                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          105988                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               275510                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2573787                       # Number of branches executed
system.cpu.iew.exec_nop                          3435                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.242180                       # Inst execution rate
system.cpu.iew.exec_refs                      4848686                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1549186                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  577352                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3770188                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                402                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1624253                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20017692                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3299500                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            416145                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              17643218                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      8                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  3881                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 274600                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  3905                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            146                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       167256                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         108254                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  18621114                       # num instructions consuming a value
system.cpu.iew.wb_count                      17383350                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.499485                       # average fanout of values written-back
system.cpu.iew.wb_producers                   9300971                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.223884                       # insts written-back per cycle
system.cpu.iew.wb_sent                       17410833                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 25464975                       # number of integer regfile reads
system.cpu.int_regfile_writes                12703709                       # number of integer regfile writes
system.cpu.ipc                               0.970150                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.970150                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              12610249     69.83%     69.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  638      0.00%     69.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    74      0.00%     69.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              108632      0.60%     70.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  60      0.00%     70.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  10      0.00%     70.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult             108586      0.60%     71.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              14      0.00%     71.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     71.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                114      0.00%     71.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     71.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  424      0.00%     71.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                   78      0.00%     71.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   32      0.00%     71.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   16      0.00%     71.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              134445      0.74%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.78% # Type of FU issued
