
---------- Begin Simulation Statistics ----------
final_tick                                23353618500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 171528                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304064                       # Number of bytes of host memory used
host_op_rate                                   172715                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   285.10                       # Real time elapsed on the host
host_tick_rate                               81913897                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    48902623                       # Number of instructions simulated
sim_ops                                      49241106                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.023354                       # Number of seconds simulated
sim_ticks                                 23353618500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  38945625                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 32618644                       # number of cc regfile writes
system.cpu.committedInsts                    48902623                       # Number of Instructions Simulated
system.cpu.committedOps                      49241106                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.955107                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.955107                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          124668                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1278059                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 11030597                       # Number of branches executed
system.cpu.iew.exec_nop                          4299                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.295903                       # Inst execution rate
system.cpu.iew.exec_refs                     17693926                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    7176477                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1325217                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              12216686                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                503                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              8441117                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            68422165                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              10517449                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3500824                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              60528051                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     71                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  1047                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1271020                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  1150                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            276                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       687622                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         590437                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  63002332                       # num instructions consuming a value
system.cpu.iew.wb_count                      59940752                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.476812                       # average fanout of values written-back
system.cpu.iew.wb_producers                  30040293                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.283329                       # insts written-back per cycle
system.cpu.iew.wb_sent                       59983852                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 80523553                       # number of integer regfile reads
system.cpu.int_regfile_writes                32407039                       # number of integer regfile writes
system.cpu.ipc                               1.047003                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.047003                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              42719362     66.72%     66.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                82568      0.13%     66.85% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    79      0.00%     66.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  10      0.00%     66.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  58      0.00%     66.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   8      0.00%     66.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult            2266503      3.54%     70.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc             893      0.00%     70.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     70.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc               3771      0.01%     70.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     70.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                11298      0.02%     70.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     70.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                21166      0.03%     70.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                13618      0.02%     70.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     70.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                7081      0.01%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           5240      0.01%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            135      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     70.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     70.49% # Type of FU issued
