
---------- Begin Simulation Statistics ----------
final_tick                                54564800500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 129575                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304060                       # Number of bytes of host memory used
host_op_rate                                   137285                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   444.59                       # Real time elapsed on the host
host_tick_rate                              122730549                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    57607610                       # Number of instructions simulated
sim_ops                                      61035595                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.054565                       # Number of seconds simulated
sim_ticks                                 54564800500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  35577972                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 37104094                       # number of cc regfile writes
system.cpu.committedInsts                    57607610                       # Number of Instructions Simulated
system.cpu.committedOps                      61035595                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.894361                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.894361                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          126150                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2194014                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 16427735                       # Number of branches executed
system.cpu.iew.exec_nop                       1186370                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.711945                       # Inst execution rate
system.cpu.iew.exec_refs                     24249188                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    9754270                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1944429                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              16030140                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                474                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             11034504                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            89633185                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              14494918                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3957176                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              77694328                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     23                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4425126                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1922048                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4427961                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1271                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       837264                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1356750                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  70453623                       # num instructions consuming a value
system.cpu.iew.wb_count                      74963910                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.473617                       # average fanout of values written-back
system.cpu.iew.wb_producers                  33368050                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.686926                       # insts written-back per cycle
system.cpu.iew.wb_sent                       75474613                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 95280090                       # number of integer regfile reads
system.cpu.int_regfile_writes                47336382                       # number of integer regfile writes
system.cpu.ipc                               0.527883                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.527883                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              54290181     66.49%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  644      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    78      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   9      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  58      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   7      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  9      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc          433587      0.53%     67.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     67.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                262      0.00%     67.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     67.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                11298      0.01%     67.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     67.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               228592      0.28%     67.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp               220968      0.27%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                3823      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            148      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     67.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     67.59% # Type of FU issued
