
---------- Begin Simulation Statistics ----------
final_tick                               195021303500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 199549                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304300                       # Number of bytes of host memory used
host_op_rate                                   204227                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1656.57                       # Real time elapsed on the host
host_tick_rate                              117726282                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   330565521                       # Number of instructions simulated
sim_ops                                     338315772                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.195021                       # Number of seconds simulated
sim_ticks                                195021303500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 156185130                       # number of cc regfile reads
system.cpu.cc_regfile_writes                161199261                       # number of cc regfile writes
system.cpu.committedInsts                   330565521                       # Number of Instructions Simulated
system.cpu.committedOps                     338315772                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.179925                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.179925                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          136290                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3609904                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 90424346                       # Number of branches executed
system.cpu.iew.exec_nop                       1223204                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.965549                       # Inst execution rate
system.cpu.iew.exec_refs                    130395166                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   42873481                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3479688                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              80310460                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                692                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             44261409                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           390486142                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              87521685                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           8311033                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             376605376                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    535                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               5295871                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3435000                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               5297133                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            471                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1400586                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        2209318                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 367879218                       # num instructions consuming a value
system.cpu.iew.wb_count                     359547877                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.503645                       # average fanout of values written-back
system.cpu.iew.wb_producers                 185280699                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.921817                       # insts written-back per cycle
system.cpu.iew.wb_sent                      361361845                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                523358688                       # number of integer regfile reads
system.cpu.int_regfile_writes               223331994                       # number of integer regfile writes
system.cpu.ipc                               0.847511                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.847511                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                11      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             250470124     65.07%     65.07% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  896      0.00%     65.07% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    98      0.00%     65.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                4149      0.00%     65.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  83      0.00%     65.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  82      0.00%     65.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult             978890      0.25%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              20      0.00%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  21      0.00%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                150      0.00%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                 10      0.00%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  426      0.00%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.33% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                40527      0.01%     65.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                40494      0.01%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   21      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 237      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     65.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     65.35% # Type of FU issued
