
---------- Begin Simulation Statistics ----------
final_tick                               105365328500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 183116                       # Simulator instruction rate (inst/s)
host_mem_usage                                 303792                       # Number of bytes of host memory used
host_op_rate                                   183594                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1202.89                       # Real time elapsed on the host
host_tick_rate                               87593840                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   220267524                       # Number of instructions simulated
sim_ops                                     220842336                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.105365                       # Number of seconds simulated
sim_ticks                                105365328500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 178609317                       # number of cc regfile reads
system.cpu.cc_regfile_writes                149346103                       # number of cc regfile writes
system.cpu.committedInsts                   220267524                       # Number of Instructions Simulated
system.cpu.committedOps                     220842336                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.956703                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.956703                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          129170                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              5850121                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 50093080                       # Number of branches executed
system.cpu.iew.exec_nop                          7430                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.295858                       # Inst execution rate
system.cpu.iew.exec_refs                     79470015                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   32205887                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6144310                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              55114592                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                497                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             38057656                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           309524018                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              47264128                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          16185668                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             273076960                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    395                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  7499                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                5824517                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  7923                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            722                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      3157525                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        2692596                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 285507589                       # num instructions consuming a value
system.cpu.iew.wb_count                     270406107                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.473990                       # average fanout of values written-back
system.cpu.iew.wb_producers                 135327779                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.283184                       # insts written-back per cycle
system.cpu.iew.wb_sent                      270601040                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                363530659                       # number of integer regfile reads
system.cpu.int_regfile_writes               144750289                       # number of integer regfile writes
system.cpu.ipc                               1.045256                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.045256                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             193379649     66.85%     66.85% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               172491      0.06%     66.91% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    86      0.00%     66.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  10      0.00%     66.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  58      0.00%     66.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   8      0.00%     66.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult           10538993      3.64%     70.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc           13209      0.00%     70.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  13      0.00%     70.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc               7323      0.00%     70.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     70.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                22136      0.01%     70.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     70.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                42491      0.01%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                27447      0.01%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   19      0.00%     70.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               14511      0.01%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          10924      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd            154      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     70.60% # Type of FU issued
